subject,difficulty,hours_available,deadline_days,importance,study_type,previous_score,actual_hours_needed
Physics,5,1,9,2,Theory,46,3.51
Math,2,5,7,2,Conceptual,81,2.28
Statistics,2,3,12,4,Conceptual,95,1.84
Biology,5,8,7,4,Conceptual,44,9.55
History,3,1,8,2,Conceptual,44,4.49
Computer Science,3,2,10,5,Practical,75,6.0
AI,2,2,4,2,Theory,90,1.92
Biology,3,5,8,3,Theory,75,2.6
AI,3,5,7,2,Practical,57,5.15
Geography,4,1,11,2,Practical,44,5.54
History,5,3,15,3,Conceptual,43,5.14
AI,2,1,5,4,Theory,76,3.33
Computer Science,2,4,10,4,Practical,75,3.9
Physics,5,2,12,5,Practical,59,8.71
Machine Learning,3,5,2,3,Theory,75,8.0
English,3,4,6,3,Theory,61,3.65
Statistics,2,8,9,5,Theory,41,3.67
History,1,2,14,4,Conceptual,78,1.74
Math,1,6,6,4,Theory,67,2.12
Math,2,1,15,4,Theory,52,2.39
Statistics,4,4,9,5,Theory,64,4.71
Math,5,4,10,2,Practical,80,4.2
Machine Learning,5,1,2,5,Theory,53,21.5
Statistics,2,7,15,5,Practical,90,2.6
Computer Science,5,4,5,4,Practical,54,14.76
Economics,4,3,5,1,Practical,66,4.44
AI,2,6,5,1,Practical,47,4.38
Biology,4,1,1,5,Practical,43,63.42
English,3,2,2,1,Conceptual,86,4.27
Computer Science,5,8,14,5,Theory,73,3.72
History,1,7,6,2,Theory,82,1.11
Statistics,2,8,5,3,Theory,80,2.56
English,1,5,3,4,Practical,52,6.88
Economics,3,6,12,3,Conceptual,84,2.57
Computer Science,2,3,8,4,Theory,88,1.98
Physics,2,5,14,3,Practical,86,2.13
AI,1,5,11,1,Practical,60,2.67
Geography,4,3,4,3,Practical,69,10.86
Computer Science,5,4,12,5,Conceptual,54,7.21
Math,3,2,10,4,Theory,59,3.23
Programming,5,8,13,5,Conceptual,79,5.62
Geography,1,3,11,1,Theory,57,1.52
Programming,5,3,5,2,Theory,90,3.52
AI,5,6,5,3,Conceptual,51,9.55
Chemistry,1,5,15,3,Practical,44,3.96
Chemistry,3,4,10,3,Conceptual,81,3.07
English,4,8,10,3,Practical,42,7.08
AI,3,7,9,1,Practical,95,1.3
Biology,1,8,4,1,Conceptual,40,3.48
Math,3,2,2,5,Conceptual,89,18.53
Computer Science,3,6,14,2,Practical,74,2.85
AI,1,7,7,4,Theory,64,2.07
Machine Learning,5,3,9,4,Theory,76,4.32
English,1,5,2,3,Theory,48,4.06
Statistics,2,5,4,3,Practical,82,5.58
Computer Science,3,2,3,4,Conceptual,58,11.62
English,1,6,4,2,Theory,78,1.5
History,1,6,10,1,Practical,76,1.74
Geography,3,6,5,1,Theory,85,1.44
English,2,2,4,3,Theory,54,3.87
Machine Learning,1,5,6,2,Theory,75,1.33
Programming,1,8,9,2,Theory,51,1.92
Statistics,2,7,15,5,Practical,59,4.46
English,3,8,8,1,Practical,51,4.06
English,5,6,9,3,Conceptual,41,6.83
Economics,5,4,15,4,Conceptual,57,5.26
Physics,1,3,5,3,Conceptual,75,2.64
Physics,4,4,9,1,Practical,90,1.93
Computer Science,2,6,13,3,Practical,53,4.2
Math,4,2,15,1,Theory,92,0.68
History,4,2,10,5,Conceptual,94,5.09
Chemistry,2,8,4,3,Practical,80,5.7
English,5,8,9,5,Practical,82,9.41
Statistics,5,3,10,2,Practical,83,4.02
AI,1,1,8,2,Conceptual,73,1.9
Machine Learning,5,3,4,4,Theory,66,9.09
AI,1,7,1,3,Practical,80,10.2
History,1,3,10,3,Conceptual,50,3.12
Chemistry,1,2,2,4,Conceptual,65,6.48
AI,5,8,4,4,Conceptual,56,14.11
Geography,5,8,15,2,Conceptual,45,4.24
Physics,2,5,7,2,Conceptual,63,3.15
Computer Science,3,3,5,2,Conceptual,88,3.46
Computer Science,4,5,13,3,Conceptual,44,4.9
Biology,2,1,8,5,Theory,74,2.83
Programming,5,1,1,1,Conceptual,64,13.73
Statistics,5,4,10,3,Conceptual,78,4.66
English,5,3,6,4,Conceptual,90,8.48
Geography,4,2,11,1,Theory,89,0.93
Economics,3,1,13,1,Theory,72,1.27
AI,1,4,5,2,Theory,77,1.38
History,2,7,10,2,Theory,77,1.38
History,3,4,3,2,Conceptual,59,6.77
AI,4,6,12,5,Theory,49,4.3
Programming,5,6,14,5,Practical,54,8.12
Machine Learning,2,4,13,5,Conceptual,55,4.01
Geography,3,7,12,2,Practical,75,3.0
Chemistry,1,3,14,4,Conceptual,83,1.5
AI,1,5,12,5,Theory,82,1.24
Computer Science,2,2,4,5,Practical,84,8.46
Biology,1,2,13,4,Practical,83,1.94
Geography,2,4,3,2,Theory,91,2.42
Machine Learning,2,8,10,1,Theory,89,0.67
Machine Learning,1,3,15,2,Theory,83,0.76
Programming,2,5,2,5,Practical,57,17.58
Physics,1,6,5,1,Practical,89,1.26
Biology,2,8,8,2,Practical,67,3.48
Chemistry,1,3,2,1,Conceptual,62,3.02
Biology,5,5,1,5,Conceptual,62,61.82
History,2,6,2,2,Theory,52,4.74
Economics,1,3,5,1,Conceptual,71,1.87
Physics,1,6,13,3,Theory,46,2.1
Machine Learning,1,2,15,2,Conceptual,90,0.8
Statistics,2,1,11,2,Theory,51,2.15
Math,3,6,1,1,Practical,64,11.16
Physics,3,8,7,1,Theory,66,1.77
Geography,1,7,3,4,Theory,65,3.25
Physics,4,6,12,1,Conceptual,68,2.34
History,4,2,14,1,Practical,45,4.16
Economics,2,4,12,3,Practical,81,2.64
Biology,4,5,4,3,Theory,81,5.41
English,5,2,10,3,Practical,88,5.22
Geography,1,1,4,5,Theory,79,2.67
Chemistry,5,6,7,3,Practical,51,9.37
Geography,4,3,8,3,Theory,94,2.59
Geography,1,3,8,4,Theory,40,2.72
Physics,1,5,9,5,Conceptual,65,3.01
English,2,6,15,2,Conceptual,54,2.85
English,5,3,8,5,Theory,91,5.29
Geography,4,2,4,5,Conceptual,83,12.82
Computer Science,2,3,6,4,Conceptual,78,4.26
Chemistry,2,6,3,4,Practical,69,9.86
Programming,1,3,5,5,Theory,62,2.82
Machine Learning,2,4,9,1,Theory,77,1.09
Programming,5,4,1,4,Theory,76,32.77
History,1,6,1,4,Practical,45,15.3
Machine Learning,1,7,14,4,Theory,95,0.62
AI,3,6,13,4,Practical,69,4.63
Computer Science,4,6,2,5,Conceptual,63,25.78
AI,2,6,8,4,Theory,70,2.56
AI,1,3,2,1,Conceptual,41,4.03
Computer Science,4,3,10,3,Practical,94,3.96
Biology,3,4,11,3,Theory,60,2.59
Economics,3,5,11,2,Practical,76,3.08
English,4,4,15,4,Conceptual,86,3.23
Statistics,5,6,6,2,Theory,52,4.2
Economics,1,4,10,5,Conceptual,54,3.41
Computer Science,3,1,5,3,Practical,57,7.98
Chemistry,4,1,2,5,Conceptual,73,25.3
Math,4,6,10,3,Theory,66,3.01
Physics,5,1,12,1,Practical,86,2.09
Math,5,1,15,1,Practical,62,3.28
Statistics,3,7,12,4,Conceptual,58,4.42
Chemistry,3,5,6,4,Practical,77,7.38
Physics,2,1,12,5,Theory,78,2.04
History,5,4,2,2,Conceptual,80,12.96
History,4,2,3,1,Practical,44,7.36
Programming,5,4,9,3,Conceptual,66,5.63
Biology,2,8,1,3,Theory,46,11.33
Programming,1,4,11,1,Conceptual,68,1.75
Geography,2,7,12,5,Practical,45,5.8
Machine Learning,4,7,4,5,Practical,61,17.34
Economics,1,1,4,4,Practical,46,6.24
Physics,1,7,3,2,Conceptual,42,4.38
AI,4,1,6,1,Conceptual,95,1.84
Economics,1,3,10,5,Conceptual,59,3.17
Statistics,4,4,3,2,Practical,59,10.46
English,1,8,6,3,Theory,83,1.34
Physics,3,1,9,5,Theory,81,3.27
Math,2,5,4,3,Practical,51,7.44
Machine Learning,4,2,7,1,Practical,88,2.43
AI,5,8,11,2,Conceptual,51,4.53
AI,2,2,2,5,Theory,62,9.22
Computer Science,1,7,11,4,Practical,84,2.05
Chemistry,1,2,6,4,Conceptual,68,3.14
Geography,4,7,7,3,Conceptual,91,4.55
AI,3,2,11,2,Theory,73,1.74
Physics,2,2,2,5,Practical,82,16.08
Machine Learning,5,3,10,3,Theory,40,4.32
Programming,5,3,6,3,Practical,45,10.8
Economics,1,2,8,3,Conceptual,42,3.68
Geography,1,2,2,5,Theory,65,5.12
Programming,3,5,12,1,Conceptual,76,1.75
Computer Science,5,3,12,4,Theory,51,4.23
Machine Learning,2,4,9,5,Theory,86,2.23
Physics,5,3,11,3,Practical,49,7.15
Math,4,2,14,1,Practical,47,4.04
Machine Learning,3,4,14,3,Conceptual,92,1.93
AI,4,3,1,4,Conceptual,90,38.88
Physics,1,8,4,5,Conceptual,57,5.06
Computer Science,5,2,1,1,Conceptual,76,13.15
Physics,1,6,13,1,Practical,41,3.77
History,4,1,8,1,Theory,49,2.43
Chemistry,4,7,4,4,Conceptual,78,10.66
Math,4,2,13,4,Theory,59,3.28
Geography,4,7,13,1,Practical,45,4.22
Physics,3,5,5,1,Theory,90,1.28
English,2,2,8,1,Theory,40,2.32
AI,5,3,15,5,Conceptual,65,5.68
Chemistry,5,1,4,4,Practical,93,15.42
History,1,1,13,1,Conceptual,84,0.95
Programming,4,4,5,3,Conceptual,55,7.92
Economics,4,6,6,3,Theory,82,3.78
Economics,1,7,1,5,Practical,90,15.6
Physics,2,8,9,4,Theory,75,2.22
English,5,3,9,5,Practical,63,10.55
Machine Learning,2,1,1,2,Theory,86,6.85
Computer Science,5,2,5,1,Theory,67,2.66
Statistics,2,7,12,1,Theory,57,1.64
Geography,5,6,6,3,Theory,62,5.22
Programming,4,2,15,1,Practical,48,3.92
Chemistry,4,3,15,4,Theory,78,2.41
AI,5,3,3,4,Theory,69,11.66
AI,4,6,8,5,Conceptual,85,6.72
Programming,3,3,2,5,Conceptual,86,18.67
Biology,3,2,10,2,Theory,65,2.08
Math,4,6,1,2,Practical,43,27.42
Chemistry,2,1,1,4,Theory,84,13.31
Geography,3,6,3,2,Practical,58,8.52
Programming,4,3,9,2,Theory,82,2.0
Statistics,4,3,10,3,Theory,42,3.78
Geography,2,8,9,4,Theory,40,3.34
Geography,4,4,11,2,Practical,49,5.24
English,5,3,13,4,Conceptual,92,4.08
Computer Science,2,6,11,4,Theory,64,2.32
Machine Learning,4,7,3,1,Conceptual,78,4.26
Physics,1,4,9,2,Practical,55,3.37
English,4,2,3,5,Theory,48,12.33
Biology,5,4,12,5,Conceptual,40,7.88
Math,2,2,1,3,Practical,42,21.48
Computer Science,4,2,6,3,Theory,74,4.03
Economics,3,7,2,4,Theory,47,11.3
Economics,2,4,14,4,Practical,48,4.83
Chemistry,5,1,4,1,Conceptual,91,3.43
AI,4,5,13,3,Theory,60,2.76
Statistics,5,5,10,5,Theory,48,5.66
Economics,3,4,8,2,Conceptual,45,4.44
History,1,2,10,3,Practical,48,4.02
History,3,5,11,5,Practical,76,5.53
English,4,1,7,5,Practical,50,11.57
English,5,6,2,1,Practical,74,9.06
AI,3,4,12,1,Practical,76,2.19
Biology,3,6,13,1,Theory,73,1.23
Biology,3,7,7,1,Practical,71,3.03
Economics,4,4,2,5,Practical,68,31.92
Programming,2,3,9,2,Practical,63,3.55
AI,4,8,1,5,Practical,68,61.92
Biology,1,8,4,1,Theory,58,1.74
History,5,7,14,3,Conceptual,67,4.16
Math,5,7,14,1,Practical,70,2.87
Programming,1,2,13,5,Conceptual,41,3.76
English,2,2,15,4,Practical,56,4.24
Computer Science,1,1,15,1,Conceptual,68,1.7
English,2,2,2,1,Theory,52,3.14
Math,1,4,7,3,Conceptual,55,3.19
AI,1,1,8,1,Theory,63,1.38
Chemistry,1,8,7,5,Practical,75,3.64
Computer Science,3,3,7,5,Practical,71,8.17
History,4,6,13,1,Practical,65,3.02
Economics,5,6,1,1,Practical,94,15.36
Biology,2,4,2,1,Conceptual,73,3.7
Geography,4,6,9,1,Theory,47,2.41
Math,2,1,15,2,Conceptual,56,2.75
Machine Learning,4,4,6,5,Theory,87,5.75
Economics,3,6,6,3,Practical,61,6.84
Economics,4,7,15,4,Practical,60,5.6
Computer Science,4,5,9,2,Theory,42,3.28
Physics,1,1,15,4,Conceptual,77,1.74
English,1,6,13,3,Conceptual,95,0.79
Computer Science,5,8,7,2,Theory,50,3.89
Statistics,3,4,5,3,Practical,72,7.08
Geography,4,3,1,1,Practical,45,15.3
English,2,4,2,1,Conceptual,59,4.37
Math,4,5,2,5,Practical,77,31.38
History,1,5,14,2,Conceptual,56,2.45
History,3,3,6,2,Conceptual,41,5.23
AI,3,5,15,4,Theory,71,2.21
History,4,8,10,5,Practical,56,8.64
Computer Science,4,1,15,3,Conceptual,84,2.69
Statistics,5,5,2,3,Theory,86,12.45
Biology,1,4,11,5,Conceptual,45,3.73
Math,5,1,1,2,Conceptual,88,24.58
English,5,1,5,3,Practical,77,10.38
Math,5,7,14,3,Theory,49,3.35
Geography,5,1,7,5,Theory,74,6.55
Chemistry,2,1,2,4,Theory,42,8.26
Computer Science,2,2,2,5,Theory,56,9.41
History,1,2,8,4,Theory,80,1.44
Math,4,2,15,5,Conceptual,91,3.63
History,2,8,12,1,Conceptual,48,2.9
Machine Learning,5,4,9,1,Practical,91,2.21
Geography,4,5,11,4,Conceptual,68,5.03
Computer Science,4,4,2,5,Conceptual,74,25.25
Geography,1,3,9,4,Theory,65,1.83
English,5,3,3,1,Theory,84,3.18
Physics,1,1,6,4,Practical,80,3.2
History,4,2,7,4,Practical,92,7.34
Machine Learning,4,5,13,4,Conceptual,76,4.11
Chemistry,3,4,5,1,Practical,61,4.14
English,1,6,15,2,Theory,52,1.75
History,1,6,2,5,Practical,87,8.28
AI,1,4,1,5,Practical,48,18.12
Math,2,7,9,1,Practical,58,3.19
Math,2,2,7,2,Theory,64,2.07
Statistics,2,5,2,3,Conceptual,86,7.87
English,1,8,2,1,Practical,81,2.64
Computer Science,2,2,4,2,Theory,58,2.94
Statistics,3,2,1,2,Theory,45,11.36
Math,5,1,6,5,Practical,92,12.98
Programming,5,7,5,1,Practical,44,6.36
Statistics,4,7,14,5,Conceptual,45,6.07
Chemistry,1,3,6,3,Theory,89,1.15
Computer Science,4,8,4,2,Conceptual,70,6.24
Physics,2,4,9,1,Conceptual,79,1.54
Economics,5,6,2,4,Conceptual,58,26.02
Geography,3,7,9,5,Practical,82,6.08
AI,4,1,12,3,Practical,71,4.74
Statistics,5,5,9,4,Theory,60,4.84
Biology,1,1,5,5,Theory,57,2.98
English,1,2,5,2,Practical,88,1.92
Biology,4,1,2,1,Conceptual,66,6.43
Programming,4,2,9,4,Theory,40,4.76
Biology,3,8,15,2,Theory,86,1.09
English,5,5,6,3,Theory,89,4.35
Computer Science,1,3,4,1,Conceptual,61,2.47
History,3,5,3,5,Practical,56,17.64
Computer Science,2,6,13,5,Conceptual,57,3.91
Physics,3,1,15,3,Practical,75,3.3
Geography,5,2,1,3,Practical,40,48.6
Economics,1,3,10,3,Conceptual,41,3.55
Computer Science,2,4,8,3,Conceptual,84,2.57
History,4,4,10,2,Practical,40,6.0
Statistics,5,7,14,3,Conceptual,89,3.1
Computer Science,3,5,11,3,Practical,60,4.85
Programming,2,8,1,4,Practical,57,26.58
Programming,3,8,7,1,Theory,54,2.16
English,2,7,14,4,Practical,41,5.25
Programming,4,7,9,3,Conceptual,74,4.45
Statistics,1,4,14,2,Theory,71,1.16
Economics,4,2,8,4,Theory,44,4.99
Physics,1,7,2,2,Conceptual,88,2.98
Programming,5,4,13,1,Conceptual,85,1.64
Machine Learning,3,8,11,5,Practical,73,5.71
Math,4,1,1,3,Theory,60,20.48
Geography,4,5,5,5,Theory,54,7.87
Biology,1,6,8,4,Conceptual,77,2.3
Physics,5,8,15,5,Practical,85,5.9
Computer Science,2,1,3,1,Conceptual,76,2.75
Economics,5,4,2,4,Conceptual,53,26.26
Geography,3,5,14,4,Theory,55,2.81
Programming,4,4,4,1,Practical,46,6.24
Math,5,8,3,1,Conceptual,67,5.58
Biology,1,7,7,1,Practical,70,2.23
Statistics,5,6,12,4,Theory,59,3.98
English,1,5,15,5,Practical,58,3.52
Statistics,5,5,1,4,Conceptual,93,48.34
Statistics,1,1,7,3,Conceptual,59,3.0
History,4,1,13,5,Conceptual,56,5.8
English,5,2,2,1,Practical,62,9.78
Machine Learning,1,3,8,1,Conceptual,73,1.6
Economics,3,7,9,4,Practical,64,6.16
Geography,3,4,4,2,Theory,78,3.1
History,2,6,1,4,Theory,66,13.89
Biology,4,3,13,2,Conceptual,45,4.12
Computer Science,2,8,13,4,Practical,62,4.13
Machine Learning,3,5,7,2,Theory,81,1.98
Math,3,3,4,2,Conceptual,74,4.85
History,2,3,2,3,Theory,42,6.66
History,5,4,5,1,Practical,77,4.38
Math,1,5,6,2,Practical,82,2.08
English,2,5,3,2,Practical,68,5.92
Geography,5,3,6,4,Conceptual,74,9.25
AI,2,7,11,4,Theory,70,2.12
English,2,3,15,2,Conceptual,80,1.6
History,3,3,5,5,Theory,70,5.76
Programming,3,3,1,1,Theory,74,5.63
Geography,4,5,10,3,Practical,90,4.2
English,4,7,5,1,Conceptual,41,4.75
History,2,1,6,2,Practical,61,4.34
Machine Learning,1,1,7,4,Practical,42,5.19
AI,5,3,10,2,Conceptual,66,4.03
Programming,1,1,10,3,Practical,64,3.06
Machine Learning,1,6,8,4,Practical,55,4.2
Geography,5,8,12,4,Practical,47,8.18
History,2,2,5,1,Practical,43,4.62
Biology,3,7,14,1,Theory,52,1.88
Programming,5,3,15,3,Theory,57,2.98
English,1,7,8,1,Conceptual,70,1.74
Biology,5,4,7,5,Theory,71,6.64
History,5,5,11,3,Conceptual,42,6.06
Biology,2,7,9,5,Conceptual,40,5.55
AI,5,6,2,3,Conceptual,52,20.3
Machine Learning,3,7,3,5,Theory,65,9.12
Geography,5,1,8,1,Theory,71,1.93
Chemistry,1,6,5,1,Theory,74,1.15
Chemistry,5,1,5,5,Theory,81,8.61
AI,3,5,13,5,Practical,81,4.6
Geography,4,5,10,3,Conceptual,93,3.22
History,5,4,11,2,Practical,55,5.43
Chemistry,5,6,15,3,Practical,85,3.9
History,5,7,10,3,Conceptual,82,4.46
Statistics,1,6,1,1,Theory,89,1.95
Statistics,4,3,12,4,Conceptual,90,3.68
Geography,1,4,1,2,Conceptual,59,6.77
English,4,8,7,4,Conceptual,61,7.36
Biology,3,2,6,2,Practical,77,4.38
Geography,5,1,7,2,Conceptual,95,3.67
Chemistry,1,7,4,3,Theory,91,1.49
Math,5,5,8,3,Conceptual,88,5.08
Geography,2,7,13,3,Conceptual,58,3.12
History,2,7,2,4,Theory,46,8.13
Programming,1,7,2,1,Conceptual,68,2.74
English,2,6,7,4,Practical,87,4.21
Machine Learning,3,3,14,5,Practical,95,3.51
Physics,5,3,8,3,Practical,62,7.9
Biology,1,7,2,4,Practical,92,6.48
English,5,5,1,2,Practical,88,30.72
English,2,4,15,2,Practical,92,1.28
Computer Science,3,8,4,5,Theory,44,7.79
Statistics,1,1,3,3,Theory,60,2.88
Geography,2,5,14,5,Theory,64,2.29
Statistics,2,4,9,4,Theory,52,2.96
Programming,3,7,1,5,Practical,75,46.5
Machine Learning,4,6,10,2,Practical,52,5.28
Math,3,5,11,5,Conceptual,70,4.71
Biology,5,5,2,1,Conceptual,55,8.16
Math,3,3,7,2,Practical,81,3.71
AI,2,3,15,2,Conceptual,55,2.8
Programming,2,7,2,1,Theory,89,1.95
Geography,5,2,5,4,Theory,64,7.55
History,2,1,8,3,Theory,74,2.03
Economics,2,4,1,1,Conceptual,75,6.0
English,3,5,13,1,Practical,47,3.87
Geography,3,3,6,4,Conceptual,80,5.76
English,1,5,7,3,Theory,83,1.23
Computer Science,2,2,1,4,Theory,51,14.37
AI,5,7,8,3,Conceptual,61,6.37
Math,3,2,6,4,Practical,78,7.32
Biology,3,7,8,5,Practical,44,8.98
Machine Learning,4,1,4,1,Theory,88,1.98
Physics,2,3,8,3,Conceptual,61,3.67
AI,1,4,15,5,Theory,80,1.17
English,3,1,3,4,Conceptual,71,10.99
Machine Learning,2,3,14,4,Conceptual,84,2.14
Machine Learning,3,4,14,5,Conceptual,78,3.63
Geography,2,3,15,4,Practical,88,2.32
English,1,7,9,2,Theory,64,1.51
Biology,5,8,11,3,Conceptual,62,5.1
Chemistry,3,8,7,2,Theory,90,1.69
Physics,5,6,6,1,Practical,85,3.4
AI,2,3,3,2,Practical,80,5.2
Biology,2,8,7,4,Practical,51,6.37
History,3,3,5,4,Conceptual,78,6.82
Machine Learning,2,5,9,2,Practical,50,4.33
Machine Learning,5,5,9,2,Conceptual,95,2.91
Machine Learning,3,8,14,5,Theory,80,2.35
AI,1,5,13,5,Practical,40,4.75
Economics,5,5,7,4,Practical,60,10.97
English,1,3,1,5,Practical,84,15.96
English,5,7,15,3,Conceptual,59,4.37
Economics,2,7,3,5,Conceptual,61,9.87
Programming,1,7,7,4,Theory,90,1.23
Machine Learning,4,6,3,3,Theory,61,7.65
Physics,2,5,12,3,Conceptual,49,3.65
Chemistry,1,8,3,4,Conceptual,81,4.11
Biology,1,8,12,2,Conceptual,67,1.98
Statistics,4,3,2,1,Theory,84,3.71
Statistics,1,8,7,2,Conceptual,95,0.93
English,5,4,11,2,Conceptual,42,4.97
Geography,3,1,15,5,Theory,46,3.33
Statistics,2,6,11,4,Practical,71,3.92
Chemistry,4,4,3,3,Practical,41,15.54
Computer Science,1,8,9,3,Conceptual,74,2.05
Machine Learning,5,5,15,4,Theory,40,4.05
Math,3,5,10,3,Theory,92,1.7
AI,3,2,14,2,Theory,68,1.71
History,2,3,7,5,Theory,53,3.79
History,1,5,3,1,Theory,67,1.59
Geography,2,8,7,3,Conceptual,55,4.22
Math,1,7,5,1,Practical,72,2.28
Chemistry,2,4,1,4,Conceptual,79,20.21
Chemistry,5,6,12,2,Conceptual,65,3.68
Biology,5,4,1,4,Conceptual,50,50.4
English,3,1,9,1,Practical,73,2.62
Statistics,1,8,15,3,Conceptual,69,1.97
Geography,5,7,5,3,Practical,55,11.7
Economics,2,4,5,2,Practical,57,4.98
Programming,4,8,13,1,Conceptual,68,2.27
Machine Learning,1,4,11,2,Theory,87,0.71
Geography,2,2,13,2,Practical,95,1.22
Statistics,4,3,8,5,Theory,50,5.6
Physics,5,3,10,1,Conceptual,83,2.02
History,1,2,14,1,Practical,51,3.15
Programming,1,8,10,2,Conceptual,73,1.78
Math,1,5,6,4,Theory,66,2.15
AI,1,5,12,1,Theory,58,1.48
Statistics,4,1,4,4,Conceptual,78,10.66
Math,3,2,15,5,Conceptual,60,4.32
Physics,3,7,4,3,Conceptual,77,6.5
Chemistry,1,4,2,4,Conceptual,55,6.96
Economics,1,8,5,5,Theory,75,2.4
AI,5,8,2,1,Theory,63,5.18
Machine Learning,2,3,11,1,Conceptual,92,0.82
Computer Science,1,4,6,2,Theory,44,2.33
Machine Learning,3,8,8,3,Theory,92,2.06
English,5,5,3,2,Practical,65,12.1
Programming,4,1,1,1,Practical,66,14.04
Computer Science,2,4,9,2,Conceptual,82,1.93
Math,2,8,7,1,Conceptual,70,2.13
